J1_rad,J2_rad,J3_rad,J4_rad,J5_rad,J6_rad
0.002301533080660207,-0.47871888070054824,0.44573023983301874,-0.01611073210833385,0.11737818528146458,0.014576376721767547
0.002302655049409859,-0.4787188786455888,0.44573023858918126,-0.016120276674216207,0.11737820516429813,0.014585950161763162
0.0023060209598379754,-0.47871887306580124,0.4457302352118178,-0.016148912449592177,0.11737825804503002,0.01461467255873188
0.002311630811431263,-0.4787188638860362,0.4457302296554413,-0.01619663918154635,0.11737834479295672,0.014662543659849751
0.0023194846036764293,-0.47871885103114425,0.4457302218745647,-0.016263456617163313,0.11737846627737475,0.014729563212292827
0.0023295823360601803,-0.4787188344259761,0.4457302118237009,-0.016349364503527655,0.11737862336758054,0.014815730963237158
0.002341924008069223,-0.4787188139953824,0.4457301994573628,-0.016454362587723967,0.1173788169328706,0.014921046659858795
0.0023565096191902777,-0.4787187896642167,0.44573018473006615,-0.01657845061683693,0.11737904784254205,0.015045510049333875
0.0023733391690759003,-0.47871876137802816,0.44573016760885054,-0.016721628422161065,0.11737931672643515,0.015189120963018526
0.0023924126573205036,-0.47871872907700697,0.4457301480575148,-0.016883895804141593,0.11737962427644472,0.0153518792014302
0.002413730083298002,-0.4787186926699001,0.4457301260208245,-0.017065252454001898,0.11737997154814116,0.015533784455903872
0.002437291446298991,-0.4787186520547194,0.4457301014370474,-0.017265698020899996,0.11738035972126207,0.015734836375724134
0.0024630967455275313,-0.4787186071187409,0.44573007423795263,-0.01748523211001599,0.11738079009970567,0.015955034566213246
0.0024911459800975836,-0.4787185577385049,0.44573004434881164,-0.01772385428043843,0.11738126411152434,0.016194378586618194
0.0025214391490291166,-0.4787185037798164,0.44573001168839743,-0.01798156404284955,0.11738178330891717,0.016452867947796653
0.002553976251243866,-0.47871844509774464,0.445729976168985,-0.018258360857009583,0.11738234936822081,0.016730502109702134
0.00258875728556076,-0.4787183815366235,0.4457299376963512,-0.018554244129040144,0.11738296408989893,0.017027280478668215
0.0026257822506910063,-0.47871831293005107,0.44572989616977465,-0.01886921320850679,0.1173836293985334,0.01734320240449206
0.0026650511452328335,-0.4787182391008904,0.4457298514820359,-0.019203267385300864,0.11738434734281056,0.017678267177317256
0.0027065639676659044,-0.4787181598612684,0.4457298035194174,-0.01955640588632076,0.1173851200955092,0.018032474024316156
0.0027503207163453785,-0.47871807501257724,0.4457297521617032,-0.019928627871952657,0.1173859499534859,0.018405822106171747
0.0027963213894956467,-0.47871798434547297,0.4457296972821794,-0.02031993243235099,0.11738683933765967,0.018798310513359298
0.002844565985203718,-0.4787178876398768,0.44572963874763416,-0.020730318583518655,0.11738779079299419,0.01920993826222785
0.002895054501412273,-0.47871778466497417,0.4457295764183571,-0.021159785263187247,0.11738880698847962,0.019640704290881782
0.002947786935912375,-0.47871767517921515,0.4457295101481401,-0.0216083313264974,0.1173898907171127,0.020090607454862516
0.003002763286335845,-0.47871755893031476,0.4457294397842765,-0.022075955541479547,0.11739104489587385,0.020559646522630773
0.0030599835501472984,-0.4787174356552525,0.4457293651675618,-0.02256265658433517,0.11739227256570439,0.021047820170849323
0.003119447724635836,-0.47871730508027255,0.44572928613229323,-0.023068433034518936,0.11739357689148014,0.021555126979466703
0.0031811558069064047,-0.47871716692088406,0.44572920250627013,-0.023593283369621874,0.11739496116198364,0.022081565426602046
0.0032451077938708156,-0.4787170208818611,0.4457291141107934,-0.02413720596005584,0.11739642878987447,0.022627133883231287
0.003311303682238421,-0.478716866657242,0.44572902076066595,-0.024700199063539707,0.11739798331165652,0.023191830607675108
0.0033797434685064577,-0.47871670393033067,0.4457289222641926,-0.025282260819387507,0.11739962838764337,0.02377565373988893
0.0034504271489500457,-0.4787165323736956,0.4457288184231801,-0.02588338924259882,0.11740136780192112,0.024378601295555198
0.003523354719611854,-0.47871635164917054,0.4457287090329368,-0.026503582217751953,0.11740320546230906,0.025000671159978588
0.003598526176291421,-0.478716161407854,0.44572859388227337,-0.02714283749270021,0.11740514540031513,0.025641861081784255
0.0036759415145341447,-0.47871596129010996,0.4457284727535022,-0.02780115267207168,0.1174071917710916,0.026302168666419753
0.0037556007296199205,-0.4787157509255673,0.44572834542243733,-0.028478525210573098,0.11740934885338539,0.026981591369461072
0.0038375038165514557,-0.4787155299331203,0.44572821165839505,-0.029174952406098197,0.11741162104948519,0.027680126489723213
0.003921650770042239,-0.4787152979209289,0.4457280712241935,-0.029890431392641095,0.11741401288516698,0.028397771162175862
0.004008041584504163,-0.4787150544864176,0.44572792387615257,-0.030624959133015488,0.11741652900963298,0.029134522350664965
0.004096676254034824,-0.4787147992162776,0.44572776936409403,-0.03137853241137987,0.11741917419545012,0.029890376840440394
0.004187554772404466,-0.47871453168646466,0.4457276074313421,-0.032151147825569965,0.11742195333848102,0.030665331230490804
