idx,target_x,target_y,target_z,J1_rad,J2_rad,J3_rad,J4_rad,J5_rad,J6_rad
0,0.2730956844289099,0.1598038038298268,0.22123830105788983,1.3003661899474235,-0.21174104331888488,0.28155421339865117,-1.053334972742071,1.4031680008341256,1.4200459100841716
1,0.2730956844289099,0.1598039600798268,0.22123830105788983,1.3003664063570846,-0.21174028253117028,0.28155358713917716,-1.0533349955009752,1.4031681219049918,1.420046136971673
2,0.2730956844289099,0.15980442882982682,0.22123830105788983,1.3003670555840405,-0.211738000167927,0.2815517083578031,-1.0533350637768937,1.4031684851172646,1.4200468176305974
3,0.2730956844289099,0.15980521007982681,0.22123830105788983,1.3003681376222096,-0.21173419622885659,0.28154857704567327,-1.0533351775674498,1.4031690904699636,1.420047952050206
4,0.2730956844289099,0.1598063038298268,0.22123830105788983,1.3003696524614559,-0.2117288707134639,0.28154419318802815,-1.0533353368686798,1.4031699379614577,1.420049540212599
5,0.2730956844289099,0.1598077100798268,0.22123830105788983,1.3003716000875893,-0.21172202362105397,0.28153855676420364,-1.053335541675036,1.4031710275894629,1.420051582092718
6,0.2730956844289099,0.15980942882982682,0.22123830105788983,1.300373980482366,-0.2117136549507328,0.2815316677476322,-1.0533357919793853,1.4031723593510412,1.4200540776583452
7,0.2730956844289099,0.1598114600798268,0.22123830105788983,1.3003767936234885,-0.21170376470140928,0.2815235261058423,-1.0533360877730102,1.403173933242605,1.4200570268701036
8,0.2730956844289099,0.15981380382982682,0.22123830105788983,1.3003800394846072,-0.2116923528717929,0.28151413180045765,-1.0533364290456084,1.4031757492599144,1.420060429681457
9,0.2730956844289099,0.1598164600798268,0.22123830105788983,1.3003837180353197,-0.2116794194603937,0.281503484787198,-1.0533368157852943,1.403177807398078,1.4200642860387116
10,0.2730956844289099,0.1598194288298268,0.22123830105788983,1.3003878292411721,-0.2116649644655233,0.2814915850158782,-1.0533372479785965,1.4031801076515547,1.4200685958810149
11,0.2730956844289099,0.15982271007982682,0.22123830105788983,1.30039237306366,-0.21164898788529518,0.281478432430409,-1.0533377256104623,1.4031826500141535,1.4200733591403556
12,0.2730956844289099,0.15982630382982682,0.22123830105788983,1.3003973494602288,-0.21163148971762302,0.2814640269687959,-1.0533382486642546,1.4031854344790347,1.4200785757415666
13,0.2730956844289099,0.1598302100798268,0.22123830105788983,1.3004027583842754,-0.2116124699602211,0.2814483685631395,-1.053338817121754,1.40318846103871,1.420084245602323
14,0.2730956844289099,0.15983442882982682,0.22123830105788983,1.3004085997851484,-0.21159192861060472,0.28143145713963497,-1.053339430963159,1.4031917296850442,1.4200903686331436
15,0.2730956844289099,0.15983896007982681,0.22123830105788983,1.3004148736081504,-0.21156986566608937,0.2814132926185722,-1.0533400901670864,1.403195240409256,1.4200969447373921
16,0.2730956844289099,0.15984380382982682,0.22123830105788983,1.3004215797945375,-0.21154628112379203,0.2813938749143349,-1.0533407947105717,1.4031989932019187,1.4201039738112753
17,0.2730956844289099,0.15984896007982682,0.22123830105788983,1.300428718281523,-0.2115211749806285,0.281373203935401,-1.0533415445690708,1.4032029880529617,1.4201114557438472
18,0.2730956844289099,0.1598544288298268,0.22123830105788983,1.3004362890022763,-0.21149454723331473,0.28135127958434203,-1.0533423397164592,1.403207224951671,1.4201193904170075
19,0.2730956844289099,0.15986021007982681,0.22123830105788983,1.3004442918859265,-0.2114663978783673,0.28132810175782247,-1.053343180125033,1.4032117038866923,1.4201277777055024
20,0.2730956844289099,0.1598663038298268,0.22123830105788983,1.3004527268575627,-0.21143672691210202,0.28130367034660014,-1.053344065765511,1.4032164248460297,1.4201366174769259
21,0.2730956844289099,0.1598727100798268,0.22123830105788983,1.300461593838237,-0.21140553433063314,0.28127798523552516,-1.053344996607034,1.4032213878170496,1.4201459095917217
22,0.2730956844289099,0.1598794288298268,0.22123830105788983,1.3004708927449637,-0.2113728201298759,0.28125104630354003,-1.0533459726171654,1.4032265927864804,1.4201556539031808
23,0.2730956844289099,0.15988646007982682,0.22123830105788983,1.3004806234907254,-0.2113385843055422,0.28122285342367864,-1.0533469937618944,1.4032320397404159,1.4201658502574475
24,0.2730956844289099,0.15989380382982682,0.22123830105788983,1.3004907859844703,-0.21130282685314494,0.28119340646306684,-1.0533480600056337,1.403237728664315,1.4201764984935143
25,0.2730956844289099,0.1599014600798268,0.22123830105788983,1.300501380131118,-0.21126554776799367,0.2811627052829209,-1.0533491713112235,1.4032436595430047,1.4201875984432288
26,0.2730956844289099,0.1599094288298268,0.22123830105788983,1.3005124058315598,-0.21122674704519584,0.28113074973854746,-1.0533503276399299,1.403249832360682,1.420199149931291
27,0.2730956844289099,0.1599177100798268,0.22123830105788983,1.300523862982661,-0.2111864246796582,0.2810975396793435,-1.0533515289514477,1.4032562471009153,1.4202111527752548
28,0.2730956844289099,0.1599263038298268,0.22123830105788983,1.3005357514772637,-0.2111445806660841,0.281063074948795,-1.0533527752039011,1.4032629037466464,1.420223606785531
29,0.2730956844289099,0.1599352100798268,0.22123830105788983,1.30054807120419,-0.21110121499897305,0.2810273553844772,-1.0533540663538443,1.403269802280193,1.4202365117653877
30,0.2730956844289099,0.15994442882982682,0.22123830105788983,1.3005608220482423,-0.2110563276726234,0.2809903808180535,-1.053355402356263,1.4032769426832505,1.4202498675109496
31,0.2730956844289099,0.15995396007982682,0.22123830105788983,1.3005740038902083,-0.21100991868112828,0.2809521510752751,-1.0533567831645763,1.4032843249368945,1.4202636738112024
32,0.2730956844289099,0.1599638038298268,0.22123830105788983,1.3005876166068624,-0.21096198801837796,0.2809126659759805,-1.0533582087306363,1.4032919490215823,1.4202779304479918
33,0.2730956844289099,0.1599739600798268,0.22123830105788983,1.3006016600709684,-0.2109125356780579,0.2808719253340947,-1.053359679004731,1.403299814917156,1.4202926371960263
34,0.2730956844289099,0.1599844288298268,0.22123830105788983,1.3006161341512839,-0.21086156165364844,0.2808299289576286,-1.0533611939355854,1.4033079226028458,1.420307793822878
35,0.2730956844289099,0.1599952100798268,0.22123830105788983,1.3006310387125608,-0.21080906593842608,0.2807866766486785,-1.0533627534703616,1.4033162720572703,1.4203234000889842
36,0.2730956844289099,0.1600063038298268,0.22123830105788983,1.300646373615551,-0.2107550485254608,0.2807421682034255,-1.0533643575546618,1.4033248632584412,1.420339455747649
37,0.2730956844289099,0.16001771007982682,0.22123830105788983,1.3006621387170074,-0.2106995094076174,0.2806964034121341,-1.0533660061325292,1.403333696183765,1.4203559605450442
38,0.2730956844289099,0.16002942882982682,0.22123830105788983,1.3006783338696888,-0.21064244857755332,0.28064938205915246,-1.053367699146449,1.4033427708100457,1.4203729142202122
39,0.2730956844289099,0.1600414600798268,0.22123830105788983,1.3006949589223618,-0.2105838660277204,0.2806011039229114,-1.0533694365373505,1.4033520871134872,1.4203903165050666
40,0.2730956844289099,0.1600538038298268,0.22123830105788983,1.3007120137198058,-0.21052376175036258,0.2805515687759227,-1.0533712182446084,1.4033616450696988,1.4204081671243942
41,0.2730956844289099,0.1600664600798268,0.22123830105788983,1.3007294981028152,-0.2104621357375165,0.2805007763847802,-1.0533730442060456,1.4033714446536947,1.420426465795857
42,0.2730956844289099,0.16007942882982681,0.22123830105788983,1.3007474119082034,-0.21039898798100953,0.28044872651015673,-1.0533749143579325,1.4033814858398983,1.4204452122299935
43,0.2730956844289099,0.1600927100798268,0.22123830105788983,1.300765754968807,-0.21033431847246176,0.28039541890680564,-1.053376828634991,1.403391768602147,1.4204644061302212
44,0.2730956844289099,0.16010630382982682,0.22123830105788983,1.300784527113489,-0.21026812720328314,0.2803408533235576,-1.0533787869703948,1.4034022929136936,1.4204840471928377
45,0.2730956844289099,0.16012021007982682,0.22123830105788983,1.3008037281671427,-0.21020041416467405,0.2802850295033218,-1.0533807892957723,1.4034130587472096,1.420504135107023
46,0.2730956844289099,0.1601344288298268,0.22123830105788983,1.3008233579506965,-0.21013117934762437,0.2802279471830841,-1.0533828355412074,1.403424066074789,1.4205246695548424
47,0.2730956844289099,0.16014896007982682,0.22123830105788983,1.3008434162811164,-0.21006042274291348,0.2801696060939054,-1.053384925635242,1.4034353148679528,1.4205456502112455
48,0.2730956844289099,0.1601638038298268,0.22123830105788983,1.300863902971412,-0.2099881443411089,0.2801100059609226,-1.0533870595048782,1.40344680509765,1.420567076744073
49,0.2730956844289099,0.16017896007982682,0.22123830105788983,1.3008848178306394,-0.20991434413256593,0.28004914650334595,-1.0533892370755795,1.4034585367342645,1.4205889488140544
50,0.2730956844289099,0.16019442882982682,0.22123830105788983,1.3009061606639056,-0.20983902210742844,0.2799870274344589,-1.053391458271273,1.4034705097476154,1.420611266074812
51,0.2730956844289099,0.1602102100798268,0.22123830105788983,1.3009279312723738,-0.20976217825562626,0.2799236484616168,-1.0533937230143515,1.4034827241069634,1.4206340281728629
52,0.2730956844289099,0.1602263038298268,0.22123830105788983,1.3009501294532673,-0.2096838125668734,0.2798590092862461,-1.0533960312256763,1.4034951797810122,1.4206572347476234
53,0.2730956844289099,0.16024271007982682,0.22123830105788983,1.3009727549998737,-0.20960392503067338,0.279793109603843,-1.053398382824578,1.4035078767379154,1.420680885431405
54,0.2730956844289099,0.1602594288298268,0.22123830105788983,1.3009958077015507,-0.20952251563631163,0.2797259491039734,-1.0534007777288605,1.403520814945278,1.420704979849425
55,0.2730956844289099,0.16027646007982682,0.22123830105788983,1.3010192873437298,-0.2094395843728578,0.2796575274702698,-1.0534032158548006,1.403533994370161,1.4207295176198023
56,0.2730956844289099,0.1602938038298268,0.22123830105788983,1.3010431937079212,-0.20935513122916616,0.2795878443804325,-1.0534056971171526,1.403547414979086,1.4207544983535632
57,0.2730956844289099,0.1603114600798268,0.22123830105788983,1.30106752657172,-0.20926915619387287,0.2795168995062267,-1.0534082214291494,1.4035610767380398,1.4207799216546424
58,0.2730956844289099,0.16032942882982681,0.22123830105788983,1.3010922857088094,-0.2091816592553961,0.27944469251348236,-1.0534107887025055,1.4035749796124766,1.4208057871198865
59,0.2730956844289099,0.16034771007982682,0.22123830105788983,1.3011174708889672,-0.20909264040193687,0.27937122306209294,-1.0534133988474184,1.4035891235673255,1.4208320943390547
