idx,target_x,target_y,target_z,J1_rad,J2_rad,J3_rad,J4_rad,J5_rad,J6_rad
0,0.4011485503575812,0.09869004478763978,0.29961906709183544,0.5960970676042173,-0.29613058956916083,0.3927949789103776,-1.4399925301069587,0.5976314229905872,1.496763679402597
1,0.4011485503575812,0.09869020103763977,0.29961906709183544,0.5960977961354306,-0.29613013781747277,0.3927946377488617,-1.439992759830486,0.5976321275018549,1.4967640423488633
2,0.4011485503575812,0.09869066978763978,0.29961906709183544,0.5960999817247495,-0.2961287825596566,0.3927936142612449,-1.4399934489955553,0.5976342410316708,1.496765131182116
3,0.4011485503575812,0.09869145103763978,0.29961906709183544,0.5961036243592113,-0.2961265237874504,0.3927919084383198,-1.4399945975856387,0.5976377635680717,1.4967669458857267
4,0.4011485503575812,0.09869254478763978,0.29961906709183544,0.5961087240172114,-0.2961233614870866,0.39278952026474073,-1.4399962055731874,0.59764269509112,1.4967694864319794
5,0.4011485503575812,0.09869395103763978,0.29961906709183544,0.5961152806685034,-0.2961192956392922,0.39278644971902427,-1.4399982729196328,0.5976490355729016,1.4967727527820707
6,0.4011485503575812,0.09869566978763977,0.29961906709183544,0.5961232942741993,-0.29611432621928513,0.39278269677354805,-1.4400007995753925,0.597656784977528,1.496776744886117
7,0.4011485503575812,0.09869770103763978,0.29961906709183544,0.5961327647867701,-0.2961084531967799,0.39277826139455213,-1.4400037854798662,0.5976659432611362,1.4967814626831482
8,0.4011485503575812,0.09870004478763977,0.29961906709183544,0.596143692150045,-0.29610167653598385,0.3927731435421384,-1.4400072305614435,0.597676510371887,1.4967869061011172
9,0.4011485503575812,0.09870270103763978,0.29961906709183544,0.5961560762992126,-0.2960939961956002,0.3927673431702703,-1.4400111347375018,0.5976884862499673,1.496793075056897
10,0.4011485503575812,0.09870566978763978,0.29961906709183544,0.5961699171608204,-0.2960854121288281,0.3927608602267739,-1.4400154979144129,0.597701870827588,1.496799969456285
11,0.4011485503575812,0.09870895103763978,0.29961906709183544,0.5961852146527757,-0.2960759242833628,0.392753694653337,-1.4400203199875443,0.5977166640289862,1.4968075891940078
