J1_rad,J2_rad,J3_rad,J4_rad,J5_rad,J6_rad
0.9459301120724954,0.06981316108918795,0.11430950096050639,-1.4752827122069365,0.9367239778004472,1.5688784024701892
0.9459242357619567,0.06980285721885833,0.11432038325670789,-1.4752838083502267,0.9367181721388317,1.5688784352910614
0.9459066692158317,0.06977191133801289,0.1143531242141695,-1.475287128069293,0.9367008100876787,1.5688786096319451
0.9458774044372187,0.06972032785125605,0.11440771173678563,-1.475292667353444,0.9366718846103154,1.5688789157445968
0.9458364334292163,0.06964811116319224,0.11448413372845062,-1.475300422191989,0.9366313886700687,1.568879343880773
0.9457837481949232,0.06955526567842589,0.11458237809305886,-1.475310388574236,0.9365793152302655,1.5688798842922305
0.9457193407374377,0.06944179580156143,0.11470243273450473,-1.4753225624894941,0.936515657254233,1.5688805272307256
0.9456432030598639,0.06930770593720366,0.11484428555668327,-1.4753369399270804,0.9364404077053037,1.568881262948024
0.9455553293851127,0.06915299927949109,0.11500792778169608,-1.4753535179897432,0.9363535615053029,1.5688820843791236
0.9454557133503052,0.06897767933448677,0.11519334978031254,-1.4753722934863323,0.9362551130560037,1.5688829837649354
0.9453443452430307,0.068781751450256,0.11540053686609111,-1.475393261545771,0.9361450538106101,1.5688839492686126
0.9452212142016899,0.06856522160283526,0.11562947263046786,-1.4754164167205774,0.936023374208989,1.5688849676617245
0.9450863082133089,0.06832809639583912,0.11588013894464197,-1.4754417529857404,0.9358900636750569,1.5688860243245761
0.9449396141111177,0.06807038306003133,0.1161525159616534,-1.4754692637374809,0.9357451106138914,1.568887103246562
0.9447811175718983,0.0677920894528615,0.11644658211865008,-1.4754989417918858,0.9355885024085651,1.5688881870265456
0.9446108031130971,0.06749322405797087,0.11676231413934342,-1.4755307793834231,0.9354202254167033,1.5688892568732662
0.9444286540897036,0.06717379598466694,0.11709968703664879,-1.4755647681633286,0.9352402649667637,1.5688902926057753
0.9442346526908942,0.06683381496737166,0.11745867411550956,-1.4756008991978695,0.935048605354039,1.5688912726538948
0.9440287799364393,0.06647329136504258,0.11783924697590097,-1.475639162966476,0.9348452298363796,1.5688921740587018
0.9438110156728723,0.06609223616057294,0.11824137551601209,-1.475679549359751,0.9346301206296399,1.5688929724730303
0.9435813385694232,0.06569066096017029,0.1186650279356018,-1.4757220476773398,0.9344032589028426,1.5688936421619986
0.9433397261137095,0.06526857799271854,0.11911017073952646,-1.4757666466256765,0.9341646247730646,1.5688941560035499
0.9430861546071907,0.06482600010912547,0.11957676874143539,-1.4758133343155901,0.9339141973000417,1.568894485489013
0.9428205991603776,0.06436294078165894,0.12006478506763132,-1.475862098259776,0.9336519544804915,1.5688946007236746
