idx,target_x,target_y,target_z,J1_rad,J2_rad,J3_rad,J4_rad,J5_rad,J6_rad
0,0.4064404725983603,-0.001366049672514972,0.21958579395781697,0.042194773125137544,-0.3851232019785429,0.6290857084111485,-0.8155098878548732,0.09896592242078027,0.6958301677181187
1,0.4064404725983603,-0.001365893422514972,0.21958579395781697,0.04219573813487072,-0.3851231651566973,0.6290856831531889,-0.8155162046235355,0.09896659629043354,0.6958367497917511
2,0.4064404725983603,-0.001365424672514972,0.21958579395781697,0.04219863316359845,-0.3851230546861153,0.6290856073758414,-0.815535154411298,0.09896861792261091,0.6958564954944685
3,0.4064404725983603,-0.0013646434225149718,0.21958579395781697,0.04220345820990514,-0.3851228705516543,0.6290854810687015,-0.815566735663618,0.09897198738697043,0.695889403271863
4,0.4064404725983603,-0.001363549672514972,0.21958579395781697,0.04221021327143116,-0.3851226127280811,0.6290853042144281,-0.8156109457898101,0.09897670479958531,0.6959354705334733
5,0.4064404725983603,-0.001362143422514972,0.21958579395781697,0.042218898344872254,-0.38512228118006586,0.6290850767887431,-0.8156677811634695,0.09898277032293495,0.6959946936532108
6,0.4064404725983603,-0.001360424672514972,0.21958579395781697,0.04222951342597882,-0.3851218758621857,0.6290847987604327,-0.815737237122975,0.09899018416584959,0.6960670679698577
7,0.4064404725983603,-0.0013583934225149719,0.21958579395781697,0.042242058509554904,-0.3851213967189251,0.6290844700913458,-0.815819307972172,0.09899894658348139,0.6961525877877545
8,0.4064404725983603,-0.001356049672514972,0.21958579395781697,0.042256533589457086,-0.3851208436846725,0.6290840907363955,-0.8159139869812241,0.09900905787724934,0.6962512463776499
9,0.4064404725983603,-0.0013533934225149718,0.21958579395781697,0.04227293865859302,-0.3851202166837253,0.6290836606435583,-0.8160212663875722,0.09902051839476025,0.6963630359776579
10,0.4064404725983603,-0.001350424672514972,0.21958579395781697,0.04229127370891987,-0.385119515630286,0.629083179753874,-0.8161411373970847,0.09903332852975404,0.6964879477944109
11,0.4064404725983603,-0.0013471434225149719,0.21958579395781697,0.04231153873144245,-0.3851187404284637,0.6290826480014462,-0.8162735901853453,0.09904748872201045,0.6966259720043478
12,0.4064404725983603,-0.001343549672514972,0.21958579395781697,0.04233373371621122,-0.3851178909722748,0.6290820653134422,-0.8164186138990813,0.09906299945725112,0.6967770977551394
13,0.4064404725983603,-0.001339643422514972,0.21958579395781697,0.042357858652320016,-0.3851169671456418,0.6290814316100929,-0.8165761966577604,0.09907986126704339,0.6969413131672859
14,0.4064404725983603,-0.0013354246725149719,0.21958579395781697,0.04238391352790359,-0.38511596882239596,0.6290807468046927,-0.8167463255553178,0.0990980747286861,0.6971186053358465
15,0.4064404725983603,-0.0013308934225149719,0.21958579395781697,0.042411898330134916,-0.385114895866276,0.6290800108036001,-0.8169289866620497,0.09911764046508385,0.6973089603323308
16,0.4064404725983603,-0.0013260496725149718,0.21958579395781697,0.042441813045222314,-0.38511374813092525,0.629079223506237,-0.8171241650266796,0.09913855914461318,0.6975123632067645
17,0.4064404725983603,-0.0013208934225149719,0.21958579395781697,0.04247365765840633,-0.38511252545989816,0.6290783848050889,-0.8173318446784996,0.09916083148099093,0.6977287979898323
18,0.4064404725983603,-0.0013154246725149718,0.21958579395781697,0.0425074321539564,-0.3851112276866555,0.6290774945857057,-0.8175520086297544,0.09918445823310426,0.6979582476952607
19,0.4064404725983603,-0.0013096434225149719,0.21958579395781697,0.042543136515167335,-0.3851098546345675,0.6290765527267008,-0.8177846388781039,0.0992094402048699,0.6982006943222815
20,0.4064404725983603,-0.0013035496725149719,0.21958579395781697,0.04258077072435556,-0.38510840611691144,0.6290755590997514,-0.818029716409281,0.0992357782450461,0.6984561188582885
21,0.4064404725983603,-0.001297143422514972,0.21958579395781697,0.04262033476285513,-0.3851068819368759,0.6290745135695989,-0.8182872211998637,0.09926347324706282,0.6987245012816109
22,0.4064404725983603,-0.001290424672514972,0.21958579395781697,0.04266182861101357,-0.3851052818875562,0.6290734159940485,-0.818557132220238,0.0992925261488259,0.6990058205644737
23,0.4064404725983603,-0.0012833934225149719,0.21958579395781697,0.04270525224818748,-0.3851036057519588,0.6290722662239696,-0.8188394274376614,0.09932293793252615,0.699300054676064
24,0.4064404725983603,-0.001276049672514972,0.21958579395781697,0.042750605652737896,-0.3851018533030004,0.6290710641032955,-0.8191340838195047,0.09935470962442272,0.6996071805857725
25,0.4064404725983603,-0.0012683934225149718,0.21958579395781697,0.04279788880202551,-0.3851000243035063,0.6290698094690238,-0.8194410773366578,0.09938784229463121,0.6999271742665962
26,0.4064404725983603,-0.0012604246725149719,0.21958579395781697,0.04284710167240558,-0.38509811850621434,0.6290685021512165,-0.8197603829670311,0.09942233705688984,0.700260010698643
27,0.4064404725983603,-0.0012521434225149718,0.21958579395781697,0.04289824423922275,-0.38509613565377254,0.6290671419729993,-0.8200919746992573,0.09945819506833814,0.7006056638728322
28,0.4064404725983603,-0.001243549672514972,0.21958579395781697,0.042951316476805494,-0.3850940754787402,0.6290657287505629,-0.8204358255365167,0.09949541752925602,0.70096410679472
29,0.4064404725983603,-0.001234643422514972,0.21958579395781697,0.043006318358460506,-0.38509193770358996,0.6290642622931619,-0.8207919075005006,0.09953400568281551,0.7013353114884617
30,0.4064404725983603,-0.0012254246725149718,0.21958579395781697,0.04306324985646678,-0.3850897220407048,0.6290627424031158,-0.8211601916355536,0.09957396081482986,0.7017192490009561
31,0.4064404725983603,-0.0012158934225149718,0.21958579395781697,0.0431221109420695,-0.38508742819238284,0.6290611688758083,-0.8215406480129178,0.09961528425346527,0.7021158894060877
32,0.4064404725983603,-0.0012060496725149717,0.21958579395781697,0.04318290158547372,-0.3850850558508343,0.6290595414996879,-0.8219332457351646,0.09965797736896909,0.7025252018091593
33,0.4064404725983603,-0.0011958934225149718,0.21958579395781697,0.043245621755837835,-0.38508260469818323,0.6290578600562677,-0.8223379529407514,0.09970204157338199,0.7029471543514477
34,0.4064404725983603,-0.0011854246725149717,0.21958579395781697,0.04331027142126682,-0.38508007440646974,0.6290561243201258,-0.8227547368087099,0.09974747832024117,0.7033817142148947
35,0.4064404725983603,-0.0011746434225149717,0.21958579395781697,0.043376850548805274,-0.385077464637646,0.6290543340589048,-0.8231835635635292,0.0997942891042655,0.7038288476269853
36,0.4064404725983603,-0.0011635496725149717,0.21958579395781697,0.04344535910443026,-0.385074775043583,0.6290524890333126,-0.8236243984801025,0.09984247546105969,0.7042885198657007
37,0.4064404725983603,-0.0011521434225149718,0.21958579395781697,0.04351579705304385,-0.3850720052660659,0.6290505889971221,-0.8240772058889053,0.09989203896677722,0.7047606952646889
38,0.4064404725983603,-0.0011404246725149718,0.21958579395781697,0.04358816435846562,-0.38506915493679683,0.629048633697171,-0.8245419491812462,0.09994298123778796,0.7052453372185217
39,0.4064404725983603,-0.0011283934225149717,0.21958579395781697,0.04366246098342474,-0.3850662236773963,0.6290466228733627,-0.825018590814696,0.09999530393035388,0.7057424081881214
40,0.4064404725983603,-0.0011160496725149717,0.21958579395781697,0.043738686889551986,-0.3850632110994021,0.6290445562586657,-0.8255070923186562,0.10004900874027504,0.7062518697063279
41,0.4064404725983603,-0.0011033934225149716,0.21958579395781697,0.04381684203737152,-0.38506011680427044,0.6290424335791138,-0.8260074143000555,0.10010409740253157,0.7067736823835978
42,0.4064404725983603,-0.0010904246725149717,0.21958579395781697,0.043896926386292355,-0.3850569403833788,0.6290402545538066,-0.8265195164491859,0.10016057169092518,0.7073078059138377
43,0.4064404725983603,-0.0010771434225149716,0.21958579395781697,0.04397893989459977,-0.3850536814180221,0.6290380188949093,-0.8270433575457079,0.10021843341771253,0.7078541990804118
44,0.4064404725983603,-0.0010635496725149717,0.21958579395781697,0.04406288251944638,-0.3850503394794176,0.6290357263076526,-0.8275788954647542,0.1002776844332203,0.708412819762243
45,0.4064404725983603,-0.0010496434225149716,0.21958579395781697,0.044148754216843014,-0.38504691412870473,0.6290333764903334,-0.8281260871831849,0.1003383266254681,0.70898362494007
