step,time_s,T_J1_rad,T_J2_rad,T_J3_rad,T_J4_rad,T_J5_rad,T_J6_rad,A_J1_rad,A_J2_rad,A_J3_rad,A_J4_rad,A_J5_rad,A_J6_rad,Eabs_J1_rad,Eabs_J2_rad,Eabs_J3_rad,Eabs_J4_rad,Eabs_J5_rad,Eabs_J6_rad
21,0.0525,1.2943267492631387,-0.2144755050376357,0.27360817314810454,-1.0840330036175885,1.4032263902324225,1.4170773739968632,1.2942287684019487,-0.21480975409160985,0.27388243646680266,-1.0840220804694454,1.403168000834122,1.4169771993114404,9.798086119006122e-05,0.0003342490539741394,0.00027426331869812026,1.092314814310491e-05,5.83893983003847e-05,0.00010017468542278252
22,0.055,1.2943362993287548,-0.2144429136093302,0.27358142576068567,-1.084034067241228,1.403232082669771,1.417087135384042,1.2942287684019487,-0.21480975409160985,0.27388243646680266,-1.0840220804694454,1.403168000834122,1.4169771993114404,0.00010753092680615417,0.00036684048227964006,0.00030101070611698866,1.198677178271268e-05,6.408183564898806e-05,0.00010993607260156857
23,0.0575,1.2943462928950666,-0.21440880625296255,0.2735534333282278,-1.0840351800612131,1.4032380397084512,1.4170973496087025,1.2942287684019487,-0.21480975409160985,0.27388243646680266,-1.0840220804694454,1.403168000834122,1.4169771993114404,0.00011752449311797086,0.0004009478386473031,0.0003290031385748682,1.309959176776232e-05,7.00388743291036e-05,0.00012015029726208937
24,0.06,1.2943567298682779,-0.21437318296202273,0.27352419571700903,-1.0840363420401466,1.4032442613262754,1.4171080165098981,1.2942287684019487,-0.21480975409160985,0.27388243646680266,-1.0840220804694454,1.403168000834122,1.4169771993114404,0.00012796146632920724,0.0004365711295871155,0.00035824074979362575,1.4261570701279425e-05,7.626049215336828e-05,0.00013081719845775552
25,0.0625,1.2943676101504415,-0.21433604372970982,0.27349371278736073,-1.0840375531389776,1.403250747500085,1.41711913591954,1.2942287684019487,-0.21480975409160985,0.27388243646680266,-1.0840220804694454,1.403168000834122,1.4169771993114404,0.00013884174849287945,0.000473710361900026,0.00038872367944192687,1.5472669532279326e-05,8.274666596297386e-05,0.00014193660809969089
26,0.065,1.2943789336394609,-0.21429738854893118,0.273461984393667,-1.084038813317003,1.4032574982057517,1.417130707662392,1.2942287684019487,-0.21480975409160985,0.27388243646680266,-1.0840220804694454,1.403168000834122,1.4169771993114404,0.000150165237512212,0.0005123655426786666,0.0004204520731356798,1.673284755754345e-05,8.949737162966542e-05,0.00015350835095162552
27,0.0675,1.2943907002290924,-0.21425721741230258,0.27342901038436407,-1.0840401225318672,1.4032645134181805,1.4171427315560772,1.2942287684019487,-0.21480975409160985,0.27388243646680266,-1.0840220804694454,1.403168000834122,1.4169771993114404,0.00016193182714374643,0.0005525366793072695,0.0004534260824385905,1.8042062421841365e-05,9.651258405840579e-05,0.00016553224463677907
28,0.07,1.2944029098089476,-0.21421553031214766,0.2733947906019399,-1.0840414807395646,1.4032717931113101,1.4171552074110751,1.2942287684019487,-0.21480975409160985,0.27388243646680266,-1.0840220804694454,1.403168000834122,1.4169771993114404,0.00017414140699889558,0.0005942237794621941,0.0004876458648627735,1.940027011926304e-05,0.00010379227718804174,0.00017800809963475217
29,0.0725,1.2944155622644964,-0.21417232724049767,0.27335932488293363,-1.084042887894441,1.4032793372581165,1.4171681350307255,1.2942287684019487,-0.21480975409160985,0.27388243646680266,-1.0840220804694454,1.403168000834122,1.4169771993114404,0.00018679386254771835,0.0006374268511121772,0.0005231115838690292,2.080742499566135e-05,0.00011133642399441257,0.00019093571928507913
30,0.075,1.2944286574770694,-0.21412760818909152,0.27332261305793515,-1.0840443439491942,1.4032871458306158,1.4171815142112276,1.2942287684019487,-0.21480975409160985,0.27388243646680266,-1.0840220804694454,1.403168000834122,1.4169771993114404,0.0001998890751206961,0.000682145902518333,0.0005598234088675103,2.2263479748874104e-05,0.00011914499649368082,0.00020431489978722794
31,0.0775,1.29444219532386,-0.2140813731493749,0.2732846549515842,-1.0840458488548752,1.4032952187998635,1.4171953447416432,1.2942287684019487,-0.21480975409160985,0.27388243646680266,-1.0840220804694454,1.403168000834122,1.4169771993114404,0.00021342692191139712,0.0007283809422349574,0.0005977815152184429,2.3768385429834282e-05,0.00012721796574144406,0.00021814543020282073
32,0.08,1.2944561756779278,-0.21403362211250046,0.2732454503825701,-1.0840474025608897,1.4033035561359615,1.4172096264038956,1.2942287684019487,-0.21480975409160985,0.27388243646680266,-1.0840220804694454,1.403168000834122,1.4169771993114404,0.00022740727597914123,0.0007761319791093901,0.0006369860842325714,2.5322091444346384e-05,0.00013555530183939624,0.00023242709245518967
33,0.0825,1.294470598408202,-0.21398435506932728,0.2732049991636309,-1.084049005015,1.403312157808056,1.4172243589727738,1.2942287684019487,-0.21480975409160985,0.27388243646680266,-1.0840220804694454,1.403168000834122,1.4169771993114404,0.0002418300062532186,0.0008253990222825691,0.0006774373031717684,2.6924545554640744e-05,0.0001441569739339954,0.00024715966133337375
34,0.085,1.2944854633794822,-0.21393357201042043,0.27316330110155296,-1.0840506561633256,1.403321023784343,1.4172395422159316,1.2942287684019487,-0.21480975409160985,0.27388243646680266,-1.0840220804694454,1.403168000834122,1.4169771993114404,0.00025669497753355586,0.0008761820811894194,0.0007191353652497012,2.857569388026171e-05,0.00015302295022090462,0.00026234290449123066
35,0.08750000000000001,1.2945007704524454,-0.2138812729260509,0.2731203559971701,-1.0840523559503459,1.4033301540320702,1.41725517589389,1.2942287684019487,-0.21480975409160985,0.27388243646680266,-1.0840220804694454,1.403168000834122,1.4169771993114404,0.00027200205049671133,0.0009284811655589364,0.0007620804696325534,3.0275480900510132e-05,0.00016215319794810057,0.00027797658244965717
36,0.09,1.294516519483645,-0.21382745780619505,0.273076163645363,-1.0840541043189005,1.40333954851754,1.4172712597600383,1.2942287684019487,-0.21480975409160985,0.27388243646680266,-1.0840220804694454,1.403168000834122,1.4169771993114404,0.00028775108169631913,0.0009822962854147965,0.0008062728214396353,3.20238494551095e-05,0.00017154768341787197,0.00029406044859792146
37,0.0925,1.2945327103255162,-0.21377212664053397,0.2730307238350585,-1.0840559012101911,1.403349207206111,1.4172877935606363,1.2942287684019487,-0.21480975409160985,0.27388243646680266,-1.0840220804694454,1.403168000834122,1.4169771993114404,0.00030394192356753,0.0010376274510758843,0.0008517126317441615,3.382074074576025e-05,0.00018120637198881795,0.0003105942491958835
