idx,target_x,target_y,target_z,J1_rad,J2_rad,J3_rad,J4_rad,J5_rad,J6_rad
0,0.4042072352320878,0.09905066711238183,0.2669054775186836,0.5930283568314799,-0.266210659534972,0.4441958843537267,-1.4522673731979079,0.5976314229905865,1.4952293240162284
1,0.4042072352320878,0.09905082336238183,0.2669054775186836,0.5930290601191457,-0.2662102024140962,0.444195527651152,-1.4522675154287807,0.5976320984368269,1.495229646691185
2,0.4042072352320878,0.09905129211238184,0.2669054775186836,0.593031169978143,-0.2662088310488526,0.4441944575403751,-1.4522679421171854,0.5976341247717696,1.4952306147114953
3,0.4042072352320878,0.09905207336238184,0.2669054775186836,0.5930346863964714,-0.26620654543139155,0.44419267401223816,-1.4522686532504836,0.5976375019840834,1.4952322280634847
4,0.4042072352320878,0.09905316711238184,0.2669054775186836,0.5930396093541301,-0.2662033455486319,0.444190177051478,-1.45226964880761,0.5976422300548814,1.4952344867243603
5,0.4042072352320878,0.09905457336238184,0.2669054775186836,0.5930459388231186,-0.2661992313822594,0.4441869666367265,-1.452270928759075,0.5976483089577234,1.4952373906622138
6,0.4042072352320878,0.09905629211238183,0.2669054775186836,0.5930536747674358,-0.2661942029087285,0.4441830427405101,-1.4522724930669648,0.5976557386586137,1.4952409398360214
7,0.4042072352320878,0.09905832336238184,0.2669054775186836,0.5930628171430812,-0.26618826009926133,0.44417840532925035,-1.4522743416849437,0.5976645191160026,1.4952451341956454
8,0.4042072352320878,0.09906066711238183,0.2669054775186836,0.5930733658980542,-0.2661814029198486,0.44417305436326326,-1.4522764745582544,0.5976746502807859,1.4952499736818359
9,0.4042072352320878,0.09906332336238184,0.2669054775186836,0.5930853209723548,-0.2661736313312515,0.4441669897967603,-1.4522788916237201,0.5976861320963068,1.4952554582262303
10,0.4042072352320878,0.09906629211238184,0.2669054775186836,0.5930986822979836,-0.26616494528900114,0.44416021157784824,-1.4522815928097472,0.5976989644983522,1.495261587751357
11,0.4042072352320878,0.09906957336238184,0.2669054775186836,0.5931134497989423,-0.2661553447433991,0.4441527196485284,-1.4522845780363276,0.5977131474151567,1.495268362170638
12,0.4042072352320878,0.09907316711238183,0.2669054775186836,0.5931296233912338,-0.26614482963951946,0.444144513944698,-1.45228784721504,0.5977286807674015,1.495275781388388
13,0.4042072352320878,0.09907707336238183,0.2669054775186836,0.5931472029828625,-0.2661333999172082,0.44413559439614936,-1.452291400249056,0.5977455644682138,1.4952838452998216
14,0.4042072352320878,0.09908129211238184,0.2669054775186836,0.5931661884738346,-0.26612105551108645,0.44412596092657064,-1.4522952370331392,0.5977637984231678,1.495292553791051
15,0.4042072352320878,0.09908582336238184,0.2669054775186836,0.5931865797561587,-0.2661077963505485,0.4441156134535451,-1.4522993574536531,0.597783382530285,1.495301906739094
16,0.4042072352320878,0.09909066711238183,0.2669054775186836,0.5932083767138461,-0.2660936223597665,0.4441045518885526,-1.4523037613885612,0.5978043166800336,1.4953119040118723
17,0.4042072352320878,0.09909582336238183,0.2669054775186836,0.5932315792229111,-0.2660785334576894,0.4440927761369686,-1.4523084487074331,0.5978266007553311,1.495322545468219
18,0.4042072352320878,0.09910129211238183,0.2669054775186836,0.5932561871513718,-0.26606252955804477,0.4440802860980647,-1.4523134192714493,0.597850234631541,1.4953338309578805
19,0.4042072352320878,0.09910707336238184,0.2669054775186836,0.5932822003592504,-0.2660456105693423,0.4440670816650092,-1.4523186729334023,0.5978752181764764,1.4953457603215183
20,0.4042072352320878,0.09911316711238183,0.2669054775186836,0.5933096186985732,-0.26602777639487085,0.4440531627248666,-1.4523242095377085,0.5979015512503983,1.4953583333907208
21,0.4042072352320878,0.09911957336238184,0.2669054775186836,0.5933384420133727,-0.2660090269327062,0.4440385291585982,-1.4523300289204044,0.5979292337060187,1.4953715499879958
22,0.4042072352320878,0.09912629211238183,0.2669054775186836,0.5933686701396862,-0.26598936207570745,0.4440231808410625,-1.4523361309091603,0.597958265388496,1.4953854099267865
23,0.4042072352320878,0.09913332336238183,0.2669054775186836,0.593400302905558,-0.26596878171152216,0.4440071176410154,-1.4523425153232812,0.5979886461354409,1.4953999130114701
24,0.4042072352320878,0.09914066711238184,0.2669054775186836,0.5934333401310394,-0.2659472857225862,0.44399033942110955,-1.452349181973715,0.5980203757769134,1.495415059037365
25,0.4042072352320878,0.09914832336238183,0.2669054775186836,0.5934677816281893,-0.26592487398612885,0.443972846037896,-1.4523561306630566,0.5980534541354242,1.4954308477907334
26,0.4042072352320878,0.09915629211238183,0.2669054775186836,0.5935036272010752,-0.2659015463741712,0.4439546373418237,-1.4523633611855575,0.5980878810259361,1.495447279048792
27,0.4042072352320878,0.09916457336238184,0.2669054775186836,0.5935408766457738,-0.2658773027535304,0.4439357131772397,-1.4523708733271314,0.5981236562558628,1.4954643525797147
28,0.4042072352320878,0.09917316711238183,0.2669054775186836,0.5935795297503718,-0.26585214298582205,0.44391607338238914,-1.45237866686536,0.5981607796250706,1.4954820681426368
