phase,kp,ki,kd,rms_err_rad,mean_abs_err_rad,vel_rms_rad,acc_rms_rad,jerk_rms_rad,smooth_cost,score
GRID,20,0,0,0.02512245023873336,0.02259588437260184,0.002627787030182122,0.0010441367301172904,0.001897036399550416,0.0013000066309472279,0.036550393088129005
GRID,20,0,5,0.02503234294856636,0.02239641817237391,0.0026412361275664595,0.0010441367301172488,0.0018376065794373086,0.0012821776849132665,0.036358769803244644
GRID,20,0,10,0.024896661993461237,0.022300024798525737,0.0026382533641896616,0.0010665938526208737,0.0019074540308659281,0.0013188519060943898,0.03617855958333354
GRID,20,0,15,0.024810602922137142,0.022072922779874726,0.0026457039674571635,0.0011554766736726152,0.0020898905251198942,0.001435800829106799,0.035990644394985186
GRID,20,0,20,0.02501365711307281,0.02226215994419353,0.0026382533641896655,0.0011172397364676595,0.0020027327328318452,0.0013828876353769153,0.03628302584870727
GRID,20,0,25,0.025313409181939615,0.022524079387100594,0.0026382533641896616,0.0011451750415404467,0.0020765729259717585,0.0014245944068698403,0.0367179083161769
GRID,20,0,30,0.024715941113508246,0.022185700955844226,0.0026232886753342717,0.0011382554915355817,0.0020573982501167144,0.0014139983191099213,0.03595019142334135
GRID,20,0,35,0.024820943706783005,0.022139613117047676,0.0026352672247333623,0.0011312936189401854,0.002020465095150625,0.0013980450618033173,0.03603055477148718
GRID,20,0,40,0.024568833464454445,0.022054486542777158,0.002597650861249702,0.0009977071918366516,0.0017806465937470167,0.0012325890124097612,0.035719335637084
GRID,20,0,45,0.024433814981732555,0.021968109341993537,0.0026082381284338345,0.0010554250228293548,0.001878139052267715,0.0013022392316608625,0.035548093575895404
GRID,20,0,50,0.024679138689352318,0.022165484177967806,0.002620285481819272,0.0011924881794218554,0.002164419699635066,0.0014840676354858184,0.03591028754188481
GRID,20,10,0,0.024005744070324502,0.021608874129749798,0.002666454904690488,0.001162293704343985,0.002067007822489048,0.0014337079397875037,0.03495355192917815
GRID,20,10,5,0.023618957156236235,0.021082183647553543,0.002659062445484781,0.0011242886375386614,0.0020027327328318236,0.00138782186612661,0.034298831166625667
GRID,20,10,10,0.025282241621008436,0.022561742435589706,0.002666454904690499,0.0010739752130309972,0.0018928532932480939,0.001319638637096126,0.036695076702512895
GRID,20,10,15,0.023765244991351474,0.021425560005223686,0.0026442155262887445,0.0011924881794218305,0.0021662500760294854,0.0014846167484041269,0.03462648666880373
GRID,20,10,20,0.02398081118043823,0.021546537861715162,0.002656099700892888,0.001228385026251992,0.0021971331865183676,0.0015190094743319045,0.034905981058729
GRID,20,10,25,0.023801881173431155,0.021292194009006674,0.002651649377128693,0.0011791638709476937,0.002144182437000889,0.0014686694407636523,0.03459484512201086
GRID,20,10,30,0.024107791474102868,0.02154791990673479,0.002633772885387383,0.00105167572137816,0.0019012103020650609,0.0013065360955842303,0.03501240503702869
GRID,20,10,35,0.023992982913680592,0.021501889245143724,0.0026471915717172193,0.001199094812688743,0.002168078907149681,0.0014897900410270242,0.03489290654035516
GRID,20,10,40,0.023745386063821067,0.02120532685421922,0.002642726246797871,0.0012506921539159348,0.0022611407398842476,0.0015538267297064284,0.03450343216390132
GRID,20,10,45,0.02400600758953429,0.021471202137416344,0.0026157742265678287,0.0010055943279467891,0.001760500352245542,0.001232066135236415,0.0348648152717661
GRID,20,10,50,0.024563740412751278,0.02195634916026061,0.0026082381284338336,0.0010813061869614467,0.0019383710211953824,0.0013384256372316276,0.035675757556604744
GRID,20,20,0,0.02313237020375798,0.02083269922637532,0.00263825336418966,0.0010516757213781189,0.0018928532932480115,0.0013040289929390865,0.03367912271623955
GRID,20,20,5,0.023234454737455786,0.020665068109768547,0.0026546170886082923,0.0011030068019870795,0.0019748326052964334,0.0013645545429798855,0.03370344424663805
GRID,20,20,10,0.02469052698190422,0.022208504556152555,0.002692899732609043,0.00118584473954419,0.002118146298754985,0.0014655352073074284,0.03594133278071124
GRID,20,20,15,0.022739423198450712,0.02033051007116846,0.0026546170886082928,0.0011312936189401448,0.0020106330898684538,0.0013950954602186373,0.033044187780056807
GRID,20,20,20,0.0254049977284441,0.02255366761039611,0.0026826466096415134,0.0011382554915355917,0.002049678154409896,0.0014116822903978829,0.03682299976268195
GRID,20,20,25,0.023153754705883666,0.020643486545251256,0.0026811786770502663,0.0011990948126887316,0.0021753788567845976,0.0014919800259174912,0.033624695981101044
GRID,20,20,30,0.02427832214866376,0.021602367270847547,0.0026870455958314947,0.0011242886375386473,0.0019788424218217,0.001380654772823563,0.035217571261369894
GRID,20,20,35,0.024026439151400673,0.0216163439661224,0.002636760717188032,0.001040346747628777,0.001833287874102681,0.001278229085570948,0.03496243404301897
GRID,20,20,40,0.024083863850758395,0.021513707302335375,0.0026590624454847817,0.0011825090234017176,0.0021237523419923524,0.001464882018978908,0.03498720570382397
GRID,20,20,45,0.023400504070108564,0.02102601138469339,0.0026202854818192676,0.0011656872698266238,0.0020803866535665932,0.0014400970849486145,0.03405751947095012
GRID,20,20,50,0.02388313954019443,0.021390181683422608,0.002627787030182125,0.001158890201563439,0.002093679994279284,0.0014393271393781924,0.03472216309584355
GRID,20,30,0,0.021745416258389428,0.019326732632273837,0.002679709940332516,0.0010813061869614298,0.0019260637791704968,0.0013347334646241498,0.03154225592098876
GRID,20,30,5,0.021429952434684985,0.018642778829434256,0.0027778155577827383,0.0011924881794218207,0.002147876121800799,0.001479104562135514,0.030899252305615663
GRID,20,30,10,0.022586160875482448,0.019971874681721135,0.002669406156180099,0.0010885877923793596,0.001936325246460565,0.0013429090286037212,0.032706389119203386
GRID,20,30,15,0.02235393149415558,0.019955599936922076,0.0026292847715577413,0.0011451750415404488,0.002108769775077745,0.0014342534616016375,0.03247515680877679
GRID,20,30,20,0.02253854254290535,0.019892988962350002,0.002739282471077611,0.0011588902015633837,0.0020765729259717763,0.0014341950188859014,0.03262845652596894
GRID,20,30,25,0.021192030595161556,0.019053471364571476,0.002675298892172722,0.0011242886375386228,0.0020341500659559666,0.0013972470660638257,0.030858490984053678
GRID,20,30,30,0.022661686190512592,0.02013553925626712,0.0026486783404790354,0.0010849530984513723,0.0019485676776693848,0.0013440374722167758,0.032863859565867834
GRID,20,30,35,0.021501179067291758,0.019023713842300977,0.0026397451671724263,0.0011382554915356198,0.0020380431796917344,0.001408191797982454,0.031153855168240492
GRID,20,30,40,0.022237695679703698,0.01994206727604225,0.002651649377128694,0.0010095147885380014,0.0017828710125952342,0.001241521655755171,0.03233288148330034
GRID,20,30,45,0.021911391928336767,0.019293212137747175,0.002663500383113132,0.0011758092016438265,0.0021031237949995013,0.001454003579650529,0.031703398355175404
GRID,20,30,50,0.0209688201436912,0.01856340722639039,0.00262328867533427,0.0011101460791202154,0.0019908234137608403,0.0013743492795124028,0.030387958684837634
GRID,20,40,0,0.01945390947108501,0.01687029023364064,0.0027378449047382107,0.0010994197784975875,0.001946532619487351,0.0013535536307945164,0.028024409950984784
GRID,20,40,5,0.02125996173784532,0.018900058669981352,0.002708933377430853,0.001212200063244285,0.002202538196374526,0.0015093015031833572,0.03086092122315433
GRID,20,40,10,0.020780388117161923,0.018134562521683134,0.0027421553428384196,0.0011277965669289109,0.002024384526758949,0.0013967729548779223,0.02998734667349128
GRID,20,40,15,0.02093374551704535,0.01801274905610028,0.0027692989851850983,0.0011065821980801676,0.0019768385302476564,0.0013676590977304143,0.030076885954868533
GRID,20,40,20,0.02143053657797156,0.0188418841446069,0.0027118384006542813,0.0011065821980801944,0.001988831593938823,0.0013712570168377828,0.030988604351958788
GRID,20,40,25,0.021540604815509432,0.019228743866522693,0.0026172788422956896,0.00113825549153564,0.0020612474550724866,0.001415153080596694,0.031296492056830445
GRID,20,40,30,0.017779538468558582,0.015326620397412073,0.002776397943218465,0.0012506921539159166,0.0022240268827609477,0.001542692572569426,0.025597117924521563
GRID,20,40,35,0.02201827374134874,0.019583164980987906,0.0026322776977077533,0.00111723973646759,0.0020007527691911346,0.0013822936462846531,0.03194808559647116
GRID,20,40,40,0.021721872487285424,0.019353476578911535,0.0026605425805537515,0.0012475298425243713,0.0022505992338013904,0.001548450659907477,0.03155345584273194
GRID,20,40,45,0.020919167218072677,0.018626252099600206,0.0026397451671724284,0.00113825549153564,0.0020496781544099797,0.0014116822903979418,0.030373461496912574
GRID,20,40,50,0.022941276579635152,0.02050781126744574,0.00264867834047904,0.0011724449337995365,0.002099351372599166,0.0014505168654394252,0.03334023389990196
GRID,20,50,0,0.017266004571583848,0.014527389807331204,0.002825591305803321,0.0012219367663524733,0.0022061341794977884,0.0015171959902960676,0.024681419074279055
GRID,20,50,5,0.017197665264015692,0.014817633287313902,0.0027975867365265497,0.0011486191847802888,0.002087993211496736,0.0014304313927952228,0.024749525046952166
GRID,20,50,10,0.01777759151653554,0.014627220226027497,0.0028436463860347667,0.0012818862752397137,0.002295929563413292,0.001586099261691787,0.025249811555718468
GRID,20,50,15,0.01977036671735038,0.01711549946166493,0.0027905416819371757,0.0011791638709477054,0.0021200166269770117,0.0014614196977564974,0.028474258417958496
GRID,20,50,20,0.016880942787400377,0.014420205364949628,0.0028018052662962807,0.0012154542974574033,0.0021699061969027824,0.0015017898672910171,0.024241224456604295
GRID,20,50,25,0.019852060228541652,0.0177578951536128,0.0026664549046904957,0.0012186998420799667,0.0021717319491793815,0.001504609474209791,0.02888146875276903
GRID,20,50,30,0.01621240948125885,0.013785810416326351,0.0027792324492585964,0.0012056652444079568,0.0021349202665428596,0.0014844417510484276,0.023253758864526866
GRID,20,50,35,0.020231860563803526,0.017519994845040656,0.0027664543013473067,0.0011825090234017022,0.0021068894628223506,0.0014598231552278968,0.029137840301846643
GRID,20,50,40,0.01713205661689074,0.014784316677713303,0.0027778155577827366,0.0011924881794218266,0.002149720584246171,0.0014796579008691298,0.024672180745834302
GRID,20,50,45,0.020853058302476392,0.018314773292500187,0.0027190873801743952,0.0011486191847802788,0.0020477435828090695,0.0014183565041889158,0.030152280599145376
GRID,20,50,50,0.020424100643767557,0.01825711593450221,0.0026575814860574608,0.0011347798941349102,0.0020438689462576936,0.001407506609771745,0.029693409271995836
GRID,20,60,0,0.016242046639320152,0.01357739854569304,0.0029282240819033865,0.0011136985556532482,0.0019485676776693553,0.0013641592922580804,0.023167161841392482
GRID,20,60,5,0.016681209679907397,0.013859632344424088,0.0028241976725220915,0.0011207697286331247,0.001942456106909261,0.0013672756421159655,0.02374775341633104
GRID,20,60,10,0.014075378876731439,0.012087516387527393,0.00279477084579131,0.0011690709845488586,0.00211064841222105,0.0014515442128505158,0.020264291491780186
GRID,20,60,15,0.016480220335895687,0.0139821215310852,0.0026841137394255877,0.0011172397364676205,0.0020007527691911875,0.0013822936462846906,0.023609510466066755
GRID,20,60,20,0.0172186425487952,0.014106443692407994,0.002861587550676365,0.001244359494724379,0.0022240268827610397,0.0015382597111353773,0.024425690366112734
GRID,20,60,25,0.013021629182407193,0.011008419016660017,0.0027421553428384226,0.0012283850262519865,0.002231143786976055,0.001529212654469207,0.018678759956184125
GRID,20,60,30,0.01937872889533793,0.01657736148963012,0.002685580067718204,0.0011312936189401448,0.0020477435828090344,0.0014062286081008117,0.027808032500963073
GRID,20,60,35,0.017652616684864154,0.015512863059283006,0.002703113964957926,0.0010628839497191483,0.001856916460791249,0.0013010937030407785,0.025539157584809735
GRID,20,60,40,0.015755399744357818,0.013896052419796039,0.002679709940332517,0.0011101460791202093,0.0019708146304213223,0.0013683466445105431,0.022840260618706892
GRID,20,60,45,0.019749821172035744,0.017383931024769893,0.0026782403981653355,0.00102889303995484,0.0018093507444127965,0.0012630303512922267,0.028568089719549914
GRID,20,60,50,0.016036536576493985,0.013864124909972917,0.0027621817825021463,0.001205665244407985,0.0021680789071497637,0.0014943893432305185,0.023118037965803494
GRID,20,70,0,0.0149949810134899,0.01243500571836704,0.0028984951486750333,0.0010516757213781319,0.001831124701816559,0.00128551041550966,0.021341034914224385
GRID,20,70,5,0.0176469952331997,0.013792158408770726,0.0030025697952181943,0.0010994197784975626,0.0018949460006789465,0.0013380776451519779,0.02467688220210026
GRID,20,70,10,0.016727471889534565,0.01449084638156664,0.00279477084579131,0.0012411810489338791,0.0022646436710934514,0.0015482198355817507,0.02412771706387606
GRID,20,70,15,0.012500838005225985,0.010916007753874133,0.0028353275586951274,0.0011858447395442324,0.0021125253787211903,0.0014638489312973197,0.018105226775292783
GRID,20,70,20,0.018411706585605425,0.014884198630219093,0.0028422616056331803,0.0012186998420799478,0.0021971331865183073,0.0015122298454114556,0.026005028885256118
GRID,20,70,25,0.011872174992352783,0.010485487768944016,0.002828376512300913,0.0011622937043440028,0.002034150065955949,0.0014238506128275866,0.017257303938107548
GRID,20,70,30,0.018059105569112006,0.015121577708939864,0.002727760727178305,0.001195796058673506,0.0021404823782700433,0.001479201954552467,0.025767814619037183
GRID,20,70,35,0.015469176410047745,0.013209812569366725,0.002733527669613879,0.0011891710987838118,0.002149720584246198,0.0014773359444225274,0.02222181628917336
GRID,20,70,40,0.020976634176395947,0.01814140129479743,0.002651649377128689,0.0010441367301172269,0.0018202702807425626,0.0012769767953048276,0.030175032503325146
GRID,20,70,45,0.016988428326087174,0.013522591280527579,0.0029841570166174573,0.0012475298425243292,0.0022133086185316037,0.0015372634753265113,0.023903450313883617
GRID,20,70,50,0.01530606748116093,0.01267294942120737,0.0028172191650133803,0.0012818862752397547,0.002295929563413361,0.0015860992616918365,0.0218011521179338
GRID,20,80,0,0.01528296241607996,0.01288132137682491,0.003026078747536897,0.0012601314738951742,0.002215098597488547,0.0015466216109731859,0.02187828526558973
GRID,20,80,5,0.025744382071187365,0.01778219070099021,0.0036618258997977338,0.0013654438059602697,0.00234714618889453,0.0016599545208405477,0.034801472873766524
GRID,20,80,10,0.01125705866383231,0.01021335577594118,0.002828376512300916,0.0011990948126887144,0.0021497205842461423,0.0014842825441559427,0.016512164806218494
GRID,20,80,15,0.021449410419995065,0.016721110678128433,0.0033660515677978813,0.0012601314738951597,0.0021460300740838963,0.0015259010539517806,0.02996255586445446
GRID,20,80,20,0.011976862490157322,0.010275489798867684,0.0027806486187513966,0.0011690709845488506,0.002095572159142865,0.001447021336927055,0.01725930952328387
GRID,20,80,25,0.014051813433126366,0.01186046191324963,0.0029801966206897995,0.0012219367663524358,0.002189905755136966,0.0015123274629877947,0.02013327713604996
GRID,20,80,30,0.025966612877625292,0.02215771340083033,0.0027478920757674817,0.0010994197784976083,0.0019219438519305874,0.0013461770005275021,0.03718008727809321
GRID,20,80,35,0.013320179768848308,0.011593122936355279,0.002740719283382595,0.0012379944427801167,0.0022558761442897793,0.0015433589532330154,0.019271077132349247
